voucher_code,total_stock,display_date_from,display_date_to,claimed,redeemed,claim_rate,redeem_rate,discount_type
MAA_THAODIENSALONHAIRSPABEAUTY_01112023_SF4142,500.0,2023-10-31 10:00:00,2024-01-31 23:59:00,30.0,4.0,0.06,0.008,Discount Percentage (For SKU)
xXC5508,1418.0,2021-11-15 10:00:00,2026-02-26 23:59:00,0.0,11.0,0.0,0.007757404795486601,Cash Voucher
xXC3723,111850.0,2023-06-23 10:00:00,2024-12-31 23:59:00,838.0,835.0,0.007492177022798391,0.0074653553866785875,Cash Voucher
xXC3722,118930.0,2020-09-12 14:37:00,2024-12-31 23:59:00,862.0,844.0,0.007247960985453628,0.0070966114521146895,Cash Voucher
MA_CHANEL_20012024_SF4507,900.0,2024-01-20 10:00:00,2024-06-30 23:59:00,45.0,6.0,0.05,0.006666666666666667,Discount Fixed Amount (For SKU)
MA_VERSACE_20012024_SF4513,900.0,2024-01-20 10:00:00,2024-06-30 23:59:00,37.0,6.0,0.04111111111111111,0.006666666666666667,Discount Fixed Amount (For SKU)
MAA_NAGAKAWA_25122023_SF4398,300.0,2023-12-29 10:00:00,2024-01-31 23:59:00,6.0,2.0,0.02,0.006666666666666667,Discount Fixed Amount (For SKU)
MAA_EMMIEBYHAPPYSKIN_25122023_SF4372,330.0,2023-12-27 10:00:00,2024-03-25 23:59:00,39.0,2.0,0.11818181818181818,0.006060606060606061,Discount Fixed Amount (For Total Bill)
MA_TEFAL_22122023_SF4352,500.0,2023-12-27 10:00:00,2024-02-29 23:59:00,32.0,3.0,0.064,0.006,Discount Percentage (For SKU)
MAA_WONHEEKOREA_01112023_SF4130,500.0,2023-10-31 10:00:00,2024-01-31 23:59:00,15.0,3.0,0.03,0.006,Discount Fixed Amount (For SKU)
MAA_DECATHLON_10112023_SF4194,500.0,2023-11-21 10:00:00,2024-01-01 23:59:00,18.0,3.0,0.036,0.006,Free SKU
MAA_TUELAMBEAUTY_24012024_SF4562,500.0,2024-01-30 10:00:00,2024-03-31 23:59:00,41.0,3.0,0.082,0.006,Discount Fixed Amount (For SKU)
MAA_BEPLANH_12012024_SF4494,1000.0,2024-01-19 10:00:00,2024-04-01 23:59:00,174.0,6.0,0.174,0.006,Free SKU
MAA_HAPPYSKINBEAUTYCLINIC_25122023_SF4402,500.0,2023-12-27 10:00:00,2024-02-28 23:59:00,81.0,3.0,0.162,0.006,Discount Fixed Amount (For SKU)
MA_BELLDUC_25122023_SF4381,500.0,2023-12-28 10:00:00,2024-04-01 23:59:00,15.0,3.0,0.03,0.006,Discount Percentage (For SKU)
MAA_YUACADEMY_01112023_SF4139,500.0,2023-10-31 10:00:00,2024-01-31 23:59:00,70.0,3.0,0.14,0.006,Discount Fixed Amount (For SKU)
MAA_YENSPA_01112023_SF4138,500.0,2023-10-31 10:00:00,2024-01-31 23:59:00,35.0,3.0,0.07,0.006,Discount Fixed Amount (For SKU)
xXC89,1143.0,2021-06-01 00:00:00,2024-01-09 23:59:00,0.0,6.0,0.0,0.005249343832020997,Cash Voucher
OMC_Viettel50_active,576.0,2022-06-23 00:00:00,2024-12-31 23:59:00,3.0,3.0,0.005208333333333333,0.005208333333333333,Cash Voucher
MA_TEKY_16112023_SF4252,10500.0,2023-12-05 10:00:00,2024-03-01 23:59:00,422.0,54.0,0.04019047619047619,0.005142857142857143,Free SKU
MA_HEALTHYCARE_25122023_SF4384,200.0,2023-12-29 10:00:00,2024-04-01 23:59:00,9.0,1.0,0.045,0.005,Buy 1 get 1
MA_BENHVIENTHUCUC_01122023_SF4283,200.0,2023-12-12 10:00:00,2024-02-15 23:59:00,16.0,1.0,0.08,0.005,Discount Percentage (For SKU)
MAA_DINGTEA_08122023_SF4366,400.0,2023-12-27 10:00:00,2024-01-15 23:59:00,54.0,2.0,0.135,0.005,Discount Percentage (For SKU)
MAA_CASHION_28122023_SF4388,2000.0,2023-12-29 10:00:00,2024-02-29 23:59:00,54.0,10.0,0.027,0.005,Discount Fixed Amount (For SKU)
MA_JUPVIEC_15112023_SF4205,1000.0,2023-11-22 10:00:00,2024-01-01 23:59:00,11.0,5.0,0.011,0.005,Discount Percentage (For SKU)
MA_BENHVIENTHUCUC_01122023_SF4284,200.0,2023-12-12 10:00:00,2024-02-15 23:59:00,40.0,1.0,0.2,0.005,Free SKU
